CBSA_ID,CBSA_Name_BRFSS,PercentAsthma,PercentObese,PercentBingeDrink,PercentCOPD,PercentCoronaryHeartDisease,PercentCurrentSmoker,PercentDepression,PercentDiabetes,PercentDifficultyErrandsAlone,PercentFluShot,PercentHealthCoverage,PercentOtherCancer,PercentSeatbeltUse,PercentSkinCancer,PercentStroke,PercentTooExpensiveToSeeDoctor,CBSA_Name,FIPS_ID,FIPS_Name
12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",7.74,29.85,13.61,5.15,2.76,14.93,15.49,10.35,5.24,63.28,83.73,5.41,95.99,4.69,3.19,16.2,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",13057,"Cherokee, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",7.74,29.85,13.61,5.15,2.76,14.93,15.49,10.35,5.24,63.28,83.73,5.41,95.99,4.69,3.19,16.2,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",13063,"Clayton, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",7.74,29.85,13.61,5.15,2.76,14.93,15.49,10.35,5.24,63.28,83.73,5.41,95.99,4.69,3.19,16.2,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",13067,"Cobb, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",7.74,29.85,13.61,5.15,2.76,14.93,15.49,10.35,5.24,63.28,83.73,5.41,95.99,4.69,3.19,16.2,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",13077,"Coweta, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",7.74,29.85,13.61,5.15,2.76,14.93,15.49,10.35,5.24,63.28,83.73,5.41,95.99,4.69,3.19,16.2,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",13085,"Dawson, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",7.74,29.85,13.61,5.15,2.76,14.93,15.49,10.35,5.24,63.28,83.73,5.41,95.99,4.69,3.19,16.2,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",13089,"DeKalb, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",7.74,29.85,13.61,5.15,2.76,14.93,15.49,10.35,5.24,63.28,83.73,5.41,95.99,4.69,3.19,16.2,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",13097,"Douglas, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",7.74,29.85,13.61,5.15,2.76,14.93,15.49,10.35,5.24,63.28,83.73,5.41,95.99,4.69,3.19,16.2,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",13113,"Fayette, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",7.74,29.85,13.61,5.15,2.76,14.93,15.49,10.35,5.24,63.28,83.73,5.41,95.99,4.69,3.19,16.2,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",13117,"Forsyth, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",7.74,29.85,13.61,5.15,2.76,14.93,15.49,10.35,5.24,63.28,83.73,5.41,95.99,4.69,3.19,16.2,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",13121,"Fulton, GA"
