CBSA_ID,CBSA_Name_BRFSS,PercentAsthma,PercentObese,PercentBingeDrink,PercentCOPD,PercentCoronaryHeartDisease,PercentCurrentSmoker,PercentDepression,PercentDiabetes,PercentDifficultyErrandsAlone,PercentFluShot,PercentHealthCoverage,PercentOtherCancer,PercentSeatbeltUse,PercentSkinCancer,PercentStroke,PercentTooExpensiveToSeeDoctor
18880,"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",6.63,28.54,12.77,9.21,4.45,22.44,16.3,13.08,8.5,57.7,83.24,8.02,95.35,10.31,3.24,13.58
19124,"Dallas-Plano-Irving, TX Metropolitan Division",9.08,28.39,16.9,2.8,,13.12,14.19,10.82,7.14,53.65,83.07,3.9,96.28,5.66,,15.45
19380,"Dayton, OH Metropolitan Statistical Area",9.18,35.09,18.9,9.26,5.15,19.77,25.45,12.75,9.1,67.0,93.86,7.79,92.63,7.38,4.31,9.01
19660,"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area",9.39,30.78,14.06,12.06,5.27,19.18,18.61,12.96,8.42,62.29,83.23,11.43,96.44,11.57,3.56,19.05
19740,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",9.08,22.06,20.62,3.65,2.41,13.76,17.64,7.48,4.41,67.88,88.91,5.78,96.01,6.2,2.26,12.69
19780,"Des Moines-West Des Moines, IA Metropolitan Statistical Area",8.95,34.44,21.51,5.59,2.88,14.42,20.09,8.35,6.22,70.55,92.27,5.04,95.64,6.33,2.89,7.19
20260,"Duluth, MN-WI Metropolitan Statistical Area",8.79,26.38,23.52,4.57,4.36,21.54,19.93,7.81,6.14,58.24,90.4,8.04,96.15,5.54,3.35,9.3
21340,"El Paso, TX Metropolitan Statistical Area",7.32,34.66,19.22,,2.63,10.85,15.81,14.6,5.88,61.63,70.41,,97.45,,,22.04
21780,"Evansville, IN-KY Metropolitan Statistical Area",10.64,31.48,17.63,8.86,3.85,22.99,29.76,12.76,11.0,61.79,91.7,7.01,92.51,6.94,3.02,15.35
22020,"Fargo, ND-MN Metropolitan Statistical Area",6.83,29.01,26.22,4.35,3.17,16.68,22.38,7.39,4.29,62.84,91.73,5.71,94.03,4.87,1.63,7.49
22220,"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",5.87,32.71,15.48,6.65,5.05,17.07,22.57,7.92,5.06,61.4,89.94,4.3,97.22,7.29,,12.93
22500,"Florence, SC Metropolitan Statistical Area",7.52,37.42,10.38,13.59,7.05,21.26,24.01,16.25,9.16,63.99,84.51,7.48,93.29,6.54,4.71,15.29
23060,"Fort Wayne, IN Metropolitan Statistical Area",10.69,33.94,15.46,7.76,5.77,21.11,24.74,10.92,7.48,46.29,88.62,6.47,94.68,3.87,3.34,12.65
23104,"Fort Worth-Arlington, TX Metropolitan Division",9.05,36.71,16.71,5.97,4.29,15.8,17.63,9.72,6.82,62.13,80.54,4.29,97.01,6.29,,17.79
